QueryID,Type,Query,ExpectedKB,RetrievedKB,Top1KB,Top1Similarity,EvidenceSufficient,ShouldReject,Passed,Answer
Q01,direct_match,油温持续升高但是负载变化不大，应该关注什么？,KB-017,"KB-017,KB-031,KB-026",KB-017,0.816497,True,False,True,当油温持续升高但负载变化不大时，应重点关注散热能力是否下降。[KB-017]持续过载可能导致油温逐步升高。[KB-031]冷却风扇停转或异常会降低散热能力，并可能导致油温继续升高。[KB-026]
Q02,paraphrase,负荷没怎么变，但是机器越来越热，应该检查哪里？,KB-017,"KB-017,KB-031,KB-026",KB-017,0.816497,True,False,True,当油温持续升高但负载变化不大时，应重点关注散热能力是否下降。[KB-017]持续过载可能导致油温逐步升高。[KB-031]冷却风扇停转或异常会降低散热能力，并可能导致油温继续升高。[KB-026]
Q03,cooling,油温越来越高，冷却系统需要检查什么？,"KB-017,KB-018,KB-026","KB-017,KB-026,KB-018",KB-017,0.57735,True,False,True,当油温持续升高但负载变化不大时，应重点关注散热能力是否下降。[KB-017]冷却风扇停转或异常会降低散热能力，并可能导致油温继续升高。[KB-026]可进一步检查冷却风扇、油泵运行状态以及散热通道是否受阻。[KB-018]
Q04,fan,冷却风扇出现异常会造成什么影响？,KB-026,"KB-026,KB-018,KB-017",KB-026,0.816497,True,False,True,冷却风扇停转或异常会降低散热能力，并可能导致油温继续升高。[KB-026]可进一步检查冷却风扇、油泵运行状态以及散热通道是否受阻。[KB-018]当油温持续升高但负载变化不大时，应重点关注散热能力是否下降。[KB-017]
Q05,composite,油温升高同时风扇报警怎么办？,"KB-026,KB-018","KB-026,KB-031,KB-017",KB-026,0.816497,True,False,True,冷却风扇停转或异常会降低散热能力，并可能导致油温继续升高。[KB-026]持续过载可能导致油温逐步升高。[KB-031]当油温持续升高但负载变化不大时，应重点关注散热能力是否下降。[KB-017]
Q06,oil_pump,怀疑散热不好，需要检查油泵吗？,KB-018,"KB-018,KB-017,KB-026",KB-018,0.707107,True,False,True,可进一步检查冷却风扇、油泵运行状态以及散热通道是否受阻。[KB-018]当油温持续升高但负载变化不大时，应重点关注散热能力是否下降。[KB-017]冷却风扇停转或异常会降低散热能力，并可能导致油温继续升高。[KB-026]
Q07,temperature_jump,温度突然跳了一下，应该排查什么？,KB-022,KB-022,KB-022,0.707107,True,False,True,若温度出现瞬时跳变，应排查传感器接线与采样异常。[KB-022]
Q08,sensor,温度采样突然异常，应该检查哪里？,KB-022,KB-022,KB-022,0.707107,True,False,True,若温度出现瞬时跳变，应排查传感器接线与采样异常。[KB-022]
Q09,overload,设备长期过载会对油温产生什么影响？,KB-031,KB-031,KB-031,0.707107,True,False,True,持续过载可能导致油温逐步升高。[KB-031]
Q10,vibration,设备出现异常振动应该检查什么？,KB-044,KB-044,KB-044,0.57735,True,False,True,振动异常需要检查机械连接和轴承状态。[KB-044]
Q11,out_of_kb_hard,齿轮箱轴向振动频谱怎么分析？,,KB-044,KB-044,0.57735,True,True,False,振动异常需要检查机械连接和轴承状态。[KB-044]
Q12,out_of_kb,PLC通讯协议的寄存器地址怎么配置？,,,KB-017,0.0,False,True,True,知识库证据不足，无法判断，不编造故障结论。
